id,gu_name,name,rate,address,x_pos,y_pos,main_dishes,price,image_path
222,용산구,알레즈,4.6,서울시 용산구 한남동 32-17,37.5347631,127.0102599,퓨전 양식,4만원 이상,../img/food_img/222.png
224,용산구,라따뚜이인서울,4.6,서울시 용산구 청파동3가 12-2 1F,37.5437515,126.9709227,프랑스 음식,3만원-4만원,../img/food_img/224.png
225,용산구,미타스,4.6,서울시 용산구 이촌동 301-154,37.520662,126.974874,이자카야 / 오뎅 / 꼬치,만원-2만원,../img/food_img/225.png
226,용산구,넘버원양꼬치훠궈,4.6,서울시 용산구 한남동 79-3 2F,37.5330039,127.0064699,기타 중식,만원-2만원,../img/food_img/226.png
227,용산구,바이두부,4.6,서울시 용산구 용산동2가 1-467,37.5460603,126.9852049,기타 양식,만원-2만원,../img/food_img/227.png
228,용산구,용산양다리,4.6,서울시 용산구 원효로3가 37-2 1F,37.5345511,126.9583376,기타 중식,만원-2만원,../img/food_img/228.png
229,용산구,브라이리퍼블릭,4.5,서울시 용산구 이태원동 63-4,37.5335443,126.9907908,세계음식 기타,만원-2만원,../img/food_img/229.png
230,용산구,르페셰미뇽,4.5,서울시 용산구 이태원동 447-5 2F,37.5352623,126.9877408,카페 / 디저트,만원 미만,../img/food_img/230.png
231,용산구,남영돈,4.5,서울시 용산구 남영동 52-2,37.5427516,126.9737792,고기 요리,만원-2만원,../img/food_img/231.png
232,용산구,샐러드셀러,4.5,서울시 용산구 한남동 684-24,37.5354548,127.0003998,기타 양식,만원-2만원,../img/food_img/232.png
233,용산구,카밀로한남,4.5,서울시 용산구 한남동 32-48 3F,37.5351753,127.0104673,이탈리안,2만원-3만원,../img/food_img/233.png
234,용산구,디템포레,4.5,서울시 용산구 한남동 199-1 1F,37.5322237,127.0081611,프랑스 음식,4만원 이상,../img/food_img/234.png
235,용산구,꾸잉,4.5,서울시 용산구 이태원동 123-33 1F,37.5347514,126.9950055,베트남 음식,만원-2만원,../img/food_img/235.png
236,용산구,캘리포니아키친앤크래프트펍,4.5,서울시 용산구 이태원동 212-24 라인빌 2F,37.5394959,126.991683,치킨 / 호프 / 펍,만원-2만원,../img/food_img/236.png
237,용산구,남박,4.5,서울시 용산구 남영동 93-2,37.5423011,126.9735634,베트남 음식,만원-2만원,../img/food_img/237.png
238,용산구,바마셀,4.5,서울시 용산구 원효로1가 38-3,37.5407152,126.9688548,카페 / 디저트,만원 미만,../img/food_img/238.png
239,용산구,하쿠시,4.5,서울 용산구 한남동 60-76 2F,37.5367824,127.0115935,정통 일식 / 일반 일식,4만원 이상,../img/food_img/239.png
240,용산구,FOURB,4.5,서울시 용산구 한강로3가 40-999 리빙파크 4F,37.529557,126.9641567,카페 / 디저트,만원 미만,../img/food_img/240.png
241,용산구,세몰리나클럽,4.5,서울시 용산구 용산동2가 22-12 1F,37.5437097,126.987255,이탈리안,2만원-3만원,../img/food_img/241.png
242,용산구,푸에고,4.5,서울시 용산구 한남동 274-13,37.5339714,127.0098555,이탈리안,2만원-3만원,../img/food_img/242.png
243,용산구,주파카,4.5,서울시 용산구 한남동 684-49 1F,37.5353276,127.0009109,남미 음식,만원-2만원,../img/food_img/243.png
244,용산구,바우카페,4.5,서울시 용산구 한강로1가 214 1F,37.5332247,126.9737248,카페 / 디저트,만원 미만,../img/food_img/244.png
245,용산구,야끼니꾸소량 (휴업중),4.5,서울시 용산구 이태원동 132-15 1F,37.5337783,126.9951145,기타 일식,2만원-3만원,../img/food_img/245.png
246,용산구,보니스피자펍,4.4,서울시 용산구 용산동2가 44-19,37.5411922,126.98693,기타 양식,만원-2만원,../img/food_img/246.png
247,용산구,롸카두들내쉬빌핫치킨,4.4,서울시 용산구 이태원동 449-1 1F,37.5349208,126.9880946,브런치 / 버거 / 샌드위치,만원 미만,../img/food_img/247.png
248,용산구,야상해,4.4,서울시 용산구 이태원동 119-16,37.5347953,126.9927891,딤섬 / 만두,만원 미만,../img/food_img/248.png
249,용산구,하시엔다,4.4,서울시 용산구 이태원동 128-15 1F,37.5340144,126.9935079,남미 음식,만원-2만원,../img/food_img/249.png
250,용산구,매덕스피자,4.4,서울시 용산구 이태원동 129-9 2F,37.5333518,126.9935261,기타 양식,만원 미만,../img/food_img/250.png
251,용산구,지노스뉴욕피자,4.4,서울시 용산구 이태원동 457-3 2F,37.5344186,126.9882413,기타 양식,만원-2만원,../img/food_img/251.png
252,용산구,라구,4.4,서울시 용산구 용산동2가 45-4 1F,37.5421851,126.9875148,기타 양식,2만원-3만원,../img/food_img/252.png
253,용산구,네키드윙즈,4.4,서울시 용산구 이태원동 34-8,37.5338205,126.9894148,기타 양식,만원-2만원,../img/food_img/253.png
254,용산구,제이엘 디저트바,4.4,서울시 용산구 한남동 744-34,37.5368946,126.9995405,카페 / 디저트,만원-2만원,../img/food_img/254.png
255,용산구,시멘트,4.4,서울시 용산구 한남동 684-65,37.5358696,127.0012298,기타 양식,2만원-3만원,../img/food_img/255.png
256,용산구,재인,4.4,서울시 용산구 한남동 683-47 2F,37.5363376,127.0012545,카페 / 디저트,만원 미만,../img/food_img/256.png
257,용산구,오파토,4.4,서울시 용산구 용산동2가 26-9 1F,37.5434963,126.9878236,베이커리,만원 미만,../img/food_img/257.png
258,용산구,오츠커피,4.4,서울시 용산구 원효로1가 48-8,37.5404131,126.9677587,카페 / 디저트,만원 미만,../img/food_img/258.png
259,용산구,몽크스부처,4.4,서울시 용산구 한남동 683-126 3-4F,37.5354428,126.999222,기타 양식,2만원-3만원,../img/food_img/259.png
260,용산구,뮤땅,4.4,서울시 용산구 한남동 653-103 2F,37.53348,127.0014388,프랑스 음식,3만원-4만원,../img/food_img/260.png
261,용산구,반창고,4.4,서울시 용산구 이태원동 224-1 B1,37.5390671,126.9890951,칵테일 / 와인,2만원-3만원,../img/food_img/261.png
262,용산구,한남동한방통닭,4.4,서울시 용산구 한남동 618-6,37.5315467,127.0055491,닭 / 오리 요리,만원 미만,../img/food_img/262.png
263,용산구,박소린두깜풍,4.4,서울시 용산구 이태원동 130-5 2F,37.5338628,126.9934552,다국적 아시아 음식,만원-2만원,../img/food_img/263.png
264,용산구,팟카파우,4.4,서울시 용산구 용산동2가 1-510 신흥시장 2F,37.5451869,126.9848677,태국 음식,만원-2만원,../img/food_img/264.png
265,용산구,방방,4.4,서울시 용산구 용산동2가 1-684 내제 1-2F,37.5449709,126.984914,칵테일 / 와인,2만원-3만원,../img/food_img/265.png
266,용산구,부산복국 고래고기,4.4,서울시 용산구 남영동 82-3 2F,37.5426332,126.9729803,해산물 요리,만원-2만원,../img/food_img/266.png
267,용산구,뷔봉,4.4,서울시 용산구 원효로1가 51-2 B1,37.5400533,126.9677589,프랑스 음식,만원-2만원,../img/food_img/267.png
268,용산구,콘디토리오븐,4.4,서울시 용산구 한남동 64-1 1F 102호,37.5348763,127.0075536,베이커리,만원-2만원,../img/food_img/268.png
269,용산구,더백테라스,4.4,서울시 용산구 한강로2가 147 3F,37.5300355,126.9706109,브런치 / 버거 / 샌드위치,만원-2만원,../img/food_img/269.png
270,용산구,쎄니에,4.4,서울시 용산구 원효로1가 51-3 1F,37.5399561,126.967658,이탈리안,2만원-3만원,../img/food_img/270.png
271,용산구,한우물,4.4,서울시 용산구 이태원동 63-6 1F,37.5335296,126.991011,퓨전 한식,4만원 이상,../img/food_img/271.png
272,용산구,코지빌라커피,4.4,서울시 용산구 이태원동 74-45,37.532947,126.9924296,카페 / 디저트,만원 미만,../img/food_img/272.png
273,용산구,미트로칼,4.4,서울시 용산구 한남동 96-3 신성미소시티 1동 107-2호,37.5315166,127.0071168,스테이크 / 바베큐,만원-2만원,../img/food_img/273.png
274,용산구,디브루잉,4.4,서울시 용산구 한남동 739-20 103호,37.5376348,127.0004436,카페 / 디저트,만원 미만,../img/food_img/274.png
275,용산구,용산양꼬치,4.4,서울시 용산구 한강로1가 256 1F,37.5358138,126.9728255,기타 중식,만원-2만원,../img/food_img/275.png
276,용산구,락희,4.4,서울시 용산구 산천동 1-27 세방리버하이빌아파트정문 빨간벽돌집,37.5364243,126.9536634,베이커리,만원 미만,../img/food_img/276.png
277,용산구,야키니쿠소문,4.4,서울시 용산구 보광동 217-66 1F,37.5261835,126.9991082,기타 일식,2만원-3만원,../img/food_img/277.png
278,용산구,능동미나리,4.4,서울시 용산구 한강로2가 148-6,37.530083,126.9707874,탕 / 찌개 / 전골,만원-2만원,../img/food_img/278.png
